patient_key,peak_type,gap_order,curve_idx,x,y,profile_name,peak_height,peak_prominence,peak_width_half_prominence,peak_width_height,left_ips,right_ips,left_base_idx,right_base_idx,prev_peak_idx,next_peak_idx,distance_to_prev_peak_idx,distance_to_next_peak_idx,left_valley_idx,right_valley_idx,left_valley_value,right_valley_value,valley_to_valley_width,height_above_left_valley,height_above_right_valley,height_above_mean_valleys
N_15,gap,3,101,126.51074,496.06277,gap_score_smooth,0.9372348785400391,0.11443603038787842,13.434973121971097,0.8800168633460999,94.74723533640747,108.18220845837857,0,112,71.0,147.0,30.0,46.0,90,112,0.8459205627441406,0.8227988481521606,22,0.09131431579589844,0.11443603038787842,0.10287517309188843
N_15,gap,4,147,128.0111,655.0419,gap_score_smooth,0.9953969717025757,0.8589811623096466,227.282004937631,0.5659063905477524,6.060521811687958,233.34252674931895,0,239,101.0,191.0,46.0,44.0,139,159,0.9811640977859497,0.9181295037269592,20,0.014232873916625977,0.07726746797561646,0.045750170946121216
N_15,gap,5,191,138.05112,807.10876,gap_score_smooth,0.8828809857368469,0.05738645792007446,6.012312562739112,0.8541877567768097,187.61619508502963,193.62850764776874,178,239,147.0,208.0,44.0,17.0,178,200,0.8254945278167725,0.7338557839393616,22,0.05738645792007446,0.14902520179748535,0.10320582985877991
N_15,gap,6,208,140.30899,865.86194,gap_score_smooth,0.8808209896087646,0.14696520566940308,13.856636877519122,0.8073383867740631,205.07309349542297,218.9297303729421,200,239,191.0,,17.0,0.0,200,239,0.7338557839393616,0.08904771506786346,39,0.14696520566940308,0.7917732745409012,0.46936924010515213
N_16,gap,1,64,188.1314,336.6611,gap_score_smooth,0.9455251097679138,0.0740862488746643,8.472961112346056,0.9084819853305817,59.46699872615707,67.93995983850313,0,81,,94.0,0.0,30.0,51,72,0.7797925472259521,0.8779737949371338,21,0.16573256254196167,0.06755131483078003,0.11664193868637085
N_16,gap,2,94,187.02847,426.03348,gap_score_smooth,0.9679243564605713,0.06883734464645386,11.29883968802973,0.9335056841373444,88.23931507181972,99.53815475984945,0,111,64.0,123.0,30.0,29.0,81,111,0.8714388608932495,0.8990870118141174,30,0.09648549556732178,0.06883734464645386,0.08266142010688782
N_16,gap,3,123,184.96252,512.42676,gap_score_smooth,0.9873620271682739,0.8681792542338371,156.8859856948042,0.5532724000513554,5.004880458519702,161.89086615332388,0,239,94.0,142.0,29.0,19.0,111,135,0.8990870118141174,0.6323081851005554,24,0.0882750153541565,0.3550538420677185,0.2216644287109375
N_16,gap,4,142,185.26039,569.0293,gap_score_smooth,0.8538432717323303,0.2215350866317749,5.186980026526442,0.7430757284164429,139.38015108603625,144.5671311125627,135,239,123.0,157.0,19.0,15.0,135,152,0.6323081851005554,0.6226513981819153,17,0.2215350866317749,0.23119187355041504,0.22636348009109497
N_16,gap,5,157,184.73895,613.71545,gap_score_smooth,0.7396877408027649,0.11703634262084961,3.8684446949436335,0.6811695694923401,155.1528672156864,159.02131191063003,152,168,142.0,174.0,15.0,17.0,152,168,0.6226513981819153,0.48787161707878113,16,0.11703634262084961,0.25181612372398376,0.1844262331724167
N_16,gap,6,174,182.92743,664.3598,gap_score_smooth,0.6574541926383972,0.07597213983535767,3.56990753137066,0.6194681227207184,172.3747923533493,175.94469988471997,168,178,157.0,191.0,17.0,17.0,168,178,0.48787161707878113,0.5814820528030396,10,0.1695825755596161,0.07597213983535767,0.12277735769748688
